,date,time,location,operator,flight #,pathway,type,registration,cn/in,aboard,fatalities,ground,summary
4442,10/02/1996,01:16,"off pasamayo, peru",aeroperu,603,lima - santiago,boeing b-757-200,n52aw,25489/505,70.0,70,0.0,"the aircraft crashed into the ocean 28 minutes after taking off from lima, peru. pieces of adhesive tape were found covering the statiports, placed there by personnel during aircraft maintenance and cleaning, causing the malfunction of the airspeed indicators and altimeters. the crew was not able to correctly determine their altitude and airspeed and with no ground reference over water and at night, crashed into the sea. an employee did not remove the adhesive tape from the statiports, nor was it detected by any number of people, including the captain, during the preflight inspection. a maintenance worker was tried and convicted of negligent homicide for failing to remove the adhesive tape and received 2 years in jail."
4445,10/08/1996,10:50,"san francesco al campo, italy",aeroflot,9981,"moscow - turin, italy",antonov an-124,ra-82069,9773053359122,23.0,2,0.0,the cargo plane struck trees and a house while making a second attempt to land.
4447,10/20/1996,12:12,"eel river crossing, new brunswick, canada",telford aviation,-,"port meiner, quebe- bangor, maine",piper pa-31-350 navajo chieftain,n744w,31-7952246,8.0,8,0.0,"31-7952246the pilot reported that he had a rough running engine and was making an emergency landing at charlo airport. while maneuvering to land, he crashed 3 miles west of the runway. loss of power from the right engine, and the pilot did not conserve altitude or configure the aircraft for maximum performance following the loss of power. control of the aircraft was probably lost as the pilot was attempting to intercept the ils for runway 13 during a low-level turn. contributing factors were the overweight condition of the aircraft and the lack of in-flight emergency procedures training received by the pilot."
4450,10/31/1996,08:27,"sao paolo, brazil",tam (brazil),402,sao paulo - rio de janiero,fokker 100,pt-mrk,11440,95.0,95,3.0,the aircraft crashed shortly after takeoff into a residential area striking a building. uncommanded deployment of the thrust reverser on the right engine.
4454,11/07/1996,17:00,"lagos, nigeria",aviation development corporation,086,port harcourt - lagos,boeing b-727-231,5n-bbf,20054/718,143.0,143,0.0,the plane crashed mid-way along its scheduled 50 minute route. the aircraft went into a roll and lost control after taking evasive action to avoid another aircraft. the plane was flying almost at the speed of sound when it crashed and disintegrated. atc error. the controller thought he had cleared to aircraft to fl100 but the aircraft was still flying at fl240.
4455,11/12/1996,18:40,"near charkhidadri, india",saudi arabian airlines / kazastan airlines,763/1907,new delhi - dhahran / chimkent - new delhi,boeing b-747-168b / ilyushin il-76td,hzaih/un-76435,22748/555/1023413428,349.0,349,0.0,"midair collision 17 km w of new delhi.  the saudi 747 had just taken off from new delhi airport ascending to 14,000 feet while the il-76 was descending. three hundred twelve aboard the b-747 and thirty-seven aboard the il-76 were killed. the il-76 descended below its assigned altitude. the death toll was reduced from 351 to 349 after kazastan airlines reported 37 aboard rather than 39. neither aircraft was equipped with an airborne collision avoidance system. the 747 had taken off from delhi and had been cleared to climb to fl140.  meanwhile, the il76, which was inbound to delhi on the same airway, had been cleared to descend to fl150. however, due to a misunderstanding, the pilot and most of the cockpit crew of the il76 believed the flight had been cleared to continue down to fl140. the indian accident report attributed the failure of most of the il76 crew to correctly understand the situation to their lack of a working knowledge of english. also contributing to the crew's decision to continue the descent below their clearance limit were poor cockpit resource management, a lack of leadership by the captain, a lack of co-ordination between the crew and a general casual attitude to the conduct of the flight."
4458,11/19/1996,17:01,"quincy, illinois",united express  / private,5925,"burlington, ia - quincy, ia",beechcraft 1900-c / beech king air a90,n87gl / n1127d,uc-87 /,14.0,14,0.0,"while landing on runway 13 at baldwin field, the united express collided with the king air which was taking off on runway 4. the collision took place where the two runways intersect. both planes caught fire and rescuers were unable to open the door to the beech 1900-c because of impact damage. all twelve aboard the united express and the two pilots aboard the king air were killed. king air pilots' failure to use proper communications and 'see-and-avoid' procedures at an uncontrolled airport. involvement of a third aircraft that transmitted unnecessary and inappropriate messages."
4460,11/23/1996,15:15,"off moroni, comoros",ethiopian airlines,961,addis ababa - nairobi,boeing b-767-200er,et-aiz,23916/187,175.0,127,0.0,"the aircraft was hijacked shortly after taking off from ethiopia by three drunken escaped prisoners. they demanded to be flown to australia, but wouldn't let the pilot stop to refuel. the plane eventually ran out of fuel and ditched 500 feet offshore of le galawa beach on the island of grand comoros. when it was aparent the plane was out of fuel, the hijackers fought the pilot for control of the aircraft. in the last seconds aloft, the left wing tip struck the water and the plane crashed into the sea flipping at least once before breaking into several  parts. the water was shallow but many passengers had inflated their safety vests which prevented them from swimming out from under the cabin and they drowned."
4463,11/30/1996,10:33,"medellin, colombia",aces colombia,148,medellin - bahia solano,de havilland canada dhc-6 twin otter 300,hk-2602,746,15.0,14,0.0,the aircraft crashed into a mountain 5 minutes after takeoff. the plane stalled while trying to clear a mountain.  overloaded.
4468,12/22/1996,18:10,"narrows, virginia",airborne express,827,test flight,mcdonnell douglas dc-8-63f,n827ax,45901/293,6.0,6,0.0,"the cargo struck mountainous terrain after experiencing a stall during tests. the inappropriate control inputs applied by the flying pilot during a stall recovery attempt, the failure of the non-flying pilot-in-command to recognize, address and correct these inappropriate control inputs, and the failure of airborne express to establish a formal, functional evaluation flight program that included adequate program guidelines, requirements and pilot training for performance of these flights. contributing to the cause of the accident were the inoperative stick shaker stall warning system and airborne express dc-8 flight training simulator's inadequate fidelity in reproducing the airplane's stall characteristics."
4472,01/07/1997,11:00,"near moamoa, samoa",polynesian airlines,211,pago pago - fagalii,de havilland canada dhc-6 twin otter 300,5w-fau,678,5.0,3,0.0,crashed onto a mountin in high winds and rain after being diverted from another airport.
4473,01/09/1997,15:54,"near monroe, michigan",comair,3272,cincinnati - detroit,embraer 120rt brasilia,n265ca,120257,29.0,29,0.0,"while on approach and attempting to land on runway 3r at detroit metropolitan wayne county airport, in a snowstorm, the aircraft went into a steep dive and crashed into a field. the accident was caused by the faa's failure to establish adequate aircraft certification standards for flight in icing conditions.  contributing to the accident were the flightcrew's decision to operate in icing conditions near the lower margin of the operating airspeed envelope (with flaps retracted), and comair's failure to establish and adequately disseminate unambiguous minimum airspeed values for flap configurations and for flight in icing conditions."
4479,02/14/1997,12:34,"carajas, brazil",varig,265,maraba - carajas,boeing b-737-2c3,pp-cjo,21013/393,52.0,1,0.0,the aircraft touched down hard. the right main landing gear collapsed causing the plane to veer to the right and end up in a wooded area. the first officer was killed.
4484,03/18/1997,10:04,"cherkessk, russia",stavropol airlines,1023,stavropol - trabzon,antonov an-24rv,ra-46516,37308502,50.0,50,0.0,"the aircraft lost altitude from fl 197 and crashed into a forest while en route from stavropol, russia to trabzon, turkey. reports indicated that an in-flight  fire and an explosion led to the separation of the tail section prior to the crash. superficial mechanical inspection of the aircraft which was carried out without the use of monitoring instruments and subsequent unjustified decision to extend the time between overhauls.  inadequate monitoring to determine the state of structural elements and detect the presence of corrosion in hard-to-reach areas under the floor of the fuselage. failure to carry out prescribed anti-corrosion measures on the aircraft structure during overhaul."
4487,04/10/1997,20:30,"near wainwright, alaska",hageland aviation services,502,barrow - wainwright,cessna 208b caravan i,n408gv,208b-0455,5.0,5,0.0,after making two approaches the pilot decided to head back to the departure airport. he flew north at an altitude beneath minimum radar coverage. the plane impacted the frozen arctiocean in a right bank and at a 60 degree nose-down attitude. the pilot's intentional vfr flight into instrument meteorological conditions and his failure to maintain altitude and clearance from terrain. a contributing factor was the weather conditions.
4491,04/19/1997,07:39,"tanjung pandan, indonesia",merpati nusantara airlines,106,jakarta - tanjung pandan,british aerospace atp,pk-mtx,2048,53.0,15,0.0,"during the final stage of a visual approach, one of the aircraft's engines failed. the crew failed to correctly identify the problem and because of the flight regime, the propeller did not autofeather. the approach was continued, however, as the aircraft descended through about 2,000ft., power was applied at the start of a go-around. control was lost and the aircraft crashed."
4493,05/08/1997,21:28,"huangtian, china",china southern airlines,3456,chongqing - shenzen,boeing b-737-31b,b-2925,27288/2577,74.0,35,0.0,"the aircraft touched down hard, causing the nosegear to collapse. the pilot chose to to go-around. the aircraft climbed away but shortly after, the pilot declared an emergency and attempted to land on the runway in the opposite direction. the aircraft crashed on the runway, broke up and caught fire.the accident happened in poor weather with heavy rain associated with local thunderstorm activity."
4499,07/09/1997,09:30,"suzano, brazil",tam (brazil),283,sao jose dos campos - congonhas,fokker 100,pt-whk,11440,60.0,1,0.0,an explosion caused explosive decompression and a six-foot hole in the side of the fuselage. one passenger was sucked out and killed.  a small bomb containing only 7 ounces of explosives was placed under a passenger seat.  it is reported that the police believed the bomb was planted as part of a failed suicide attempt by one of the passengers.
4500,07/11/1997,21:55,"off santiago de cuba, cuba",cubana de aviacion,787,santiago de cuba - havana,antonov an-24,cu-t1262,27307610,44.0,44,0.0,the plane crashed into the ocean 4 miles off the coast shortly after takeoff. possible failure of the left engine during takeoff.
4502,07/17/1997,11:56,"bandung, indonesia",sempati air,304,bangdung - jakarta,fokker f-27 friendship 600,pk-ypm,10415,50.0,30,0.0,"the aircraft developed engine trouble (left engine caught on fire) shortly after taking off.  while attempting to make an emergency landing at sulaiman afb, the plane clipped roof tops of a housing project and crashed into a nearby field."
4506,07/30/1997,10:30,"florence, italy",air littoral,701,nice - florence,aerospatiale atr-42-512,f-gpye,492,17.0,1,0.0,"the aircraft touched down at excessive speed, far down the runway threshold, bounced twice and overran the runway."
4507,08/06/1997,01:42,"agana, guam",korean airlines,801,seoul - guam,boeing b-747-300,hl-7468,22487/605,254.0,229,0.0,"the aircraft crashed into nimitz hill, 3 miles short of runway 06r, while making a non-precision approach in heavy rain to a.b. won guam international airport. the runway glide slope system was inoperative. in addition, the minimum safe altitude warning system (msaw) was also not working due to a software problem. the captain’s failure to adequately brief and execute the non-precision approach and the first officer's and flight engineer's failure to effectively monitor and cross-check the captain’s execution of the approach. contributing to these failures were the captain's fatigue and korean air's  inadequate flight crew training. contributing to the accident was the federal aviation administration's (faa) intentional inhibition of the msaw at guam and the agency's failure to adequately manage the system."
4508,08/07/1997,12:36,"miami, florida",fine air,101a,miami - santo domingo,mcdonnell douglas dc-8-61f,n27ua,45942/349,4.0,4,0.0,"immediately after taking off the plane went into a nose-high attitude, stalled and crashed to the ground. the probable cause of the accident, which resulted from the airplane being misloaded to produce a more aft center of gravity and a correspondingly incorrect stabilizer trim setting that precipitated an extreme pitch-up at rotation, was (1) the failure of fine air to exercise operational control over the cargo loading process and  (2) the failure of aeromar to load the airplane as specified by fine air. contributing to the accident was the failure of the faa to adequately monitor fine airs operational control responsibilities for cargo loading and the failure of the faa to ensure that known cargo-related deficiencies were corrected at fine air."
4509,08/10/1997,08:15,"matsu island, taiwan",formosa airlines,7601,taipei - matsu,dornier do-228-212,b-12256,8220,16.0,16,0.0,the aircraft flew into a mountain and exploded in flames after a missed approach and while executing a go-around in rain and high winds. the pilot turned right instead of left when initiating the go-around.
4514,09/03/1997,14:00,"phnom penh, cambodia",vietnam airlines,815,ho chi minh city - phnom penh,tupolev tu-134,vn-a120,66360,66.0,65,0.0,"the plane was on a flight from ho chi minh city to phnom penh when it crashed while making an approach to pochentong international airport in heavy rain. the plane clipped palm trees and exploded in flames after crashing into a rice paddy, one-half mile from the runway. the only survivor was a one-year-old boy. pilot error. the captain failed to heed the warnings of the flight engineer and first officer that the plane was flying too low and failed to abort the landing."
4515,09/06/1997,19:44,"near miri, malaysia",borneo airways,238,bandar seri begawan - miri,dornier 228-212,9m-mia,8217,10.0,10,0.0,struck tree tops and crashed into lambir hill while on approach to land at miri.
4518,09/26/1997,13:34,"buah nabar, indonesia",garuda indonesia airlines,152,jakarta - medan,airbus a300-b4-200,pk-gai,214,234.0,234,0.0,the aircraft crashed into mountainous terrain 15 minutes before it was due to land at medan on a flight from jakarta. the aircraft crashed 20 miles from the airport. atc error in directing the plane in the wrong direction into mountainous terrain that was obscured by smoke and haze due to forest fires in the area.
4519,10/08/1997,07:23,"near montrose, colorado",sceniairlines,-,"montrose, co - page, az",cessna 208b caravan i,n12022,208b-0432,9.0,9,0.0,"collided with terrain at the 9,900 foot level on the uncompahgre plateau. the pilot's failure to maintain sufficient airspeed for undetermined reasons while maneuvering the airplane near maximum gross weight and aft center of gravity in or near instrument meteorological conditions, which resulted in a loss of control and entry into a stall/spin."
4521,10/10/1997,22:23,"nuevo berlin, uruguay",austral lineas aeras (argentina),2553,posadas - buenos aires,mcdonnell douglas dc-9-32,lv-weg,47446/561,74.0,74,0.0,"the aircraft crashed  near nuevo berlin, a town on the banks of the uruguay river, after changing its route to avoid heavy rain and hail. a crater 25 feet deep crater was created where the plane crashed into the earth.  pitot heater failure."
4526,11/08/1997,08:08,"near barrow, alaska",hageland aviation services,500,barrow - wainwright,cessna 208b caravan i,n750gc,208b-0504,8.0,8,0.0,"a few minutes after takeoff a distress call was received from the aircraft after which it ditched into the sea 200 yards offshore. the pilot's disregard for lateral fuel loading limits, his improper removal of frost prior to takeoff, and the resulting inadvertent stall/spin. factors involved in this accident were the improper asymmetrical fuel loading which reduced lateral aircraft control, the self-induced pressure to takeoff on time by the pilot, and inadequate surveillance of the company operations by company management."
4528,12/09/1997,15:26,"little grand rapids, canada",sowind air,301,winnipeg - little grand rapids,embraer 110p1 bandeirante,c-gvro,110285,17.0,4,0.0,"crashed during the second approach right of the approach path. while the aircraft was being manoeuvred at a very low level in marginal weather, it descended after an abrupt turn and flew, in controlled flight, into the terrain. crew procedural error. the aircraft was 1,000 pounds heavier than the maximum allowable weight.  the gps installed in aircraft was not approved as a primary navigational aid."
4530,12/16/1997,18:35,"sharjah, united arab emirates",tajikistan airlines,3183,dushanbe - sharjah,tupolev tu-154,ey-85281,78a-281,86.0,85,0.0,the aircraft crashed and burned while making an attempt to land. a number of errors by the crew resulted in the acccident. not maintaining the height indicated during the last contact with the atc. not following instructions from the atc. crew fatigue and turbulence in the area contributed to the accident.
4532,12/17/1997,21:13,"fotina, greece",aerosweet airlines (lvov),241,odessa - thessaloniki,yakovlev yak-42,ur-42334,4520422606,70.0,70,0.0,"the aircraft crashed into mt. olympus while approaching salonica, during a second attempt to land. the plane was holding at 3,300 feet due to heavy traffic. tower tapes indicate that after the missed approach, the crew reported they were heading north when they actually were heading west. an investigation revealed the crew had poor training, flew too low, didn't know how to use the radar equipment and failed to declare an emergency after they missed the landing strip. a second crash occurred when a c-130 transport plane on its way to pick up troops to assist in the search, crashed into pastra mountain."
4533,12/19/1997,16:13,"near palembang, indonesia",silkair,185,jakarta - hatta - singapore,boeing b-737-300,9v-trf,28556/2851,104.0,104,0.0,"the plane disappeared off radar screens and shortly after, crashed into the musi river. the plane, almost brand-new, cruising in good weather and with an experienced crew, suddenly left normal flight from 35,000 feet and crashed at a high rate of speed into the sumatran jungle. the right wing and parts of the rudder separated from the aircraft before it crashed. the indonesian national transportation committee found that there was insufficient evidence to find a cause for the accident. the u.s. national transportation safety board strongly disagreed and stated the jet's cockpit voice recorder was intentionally disconnected and its flight controls placed in a nose-down position most likely by the captain. while the u.s. ntsb stopped short of using the term suicide, its dissenting report made it clear it believed the crash was the result of actions by the captain. in july 2004 a california jury found the manufacturer of the pcu valve that controls rudder responsible for the accident after the valve was located and showed defects which may have led to a rudder hardover."
4536,12/28/1997,23:10,over the pacifiocean,united air lines,826,tokyo - honolulu,boeing b-747-122,n4723u,19882/175,393.0,1,0.0,"two hours into the flight, at fl 310, the plane received reports of severe clear air turbulence in the area and the seat belt sign was turned on. moments later, the aircraft suddenly dropped around one hundred feet seriously injuring many passengers and causing damage to the aircraft. the plane landed safely back at tokyo, but  one passenger died of her injuries."
4541,01/27/1998,11:45,"yangon (rangoon), myanmar",myanmar airways,403,thandwe - sittwe,fokker f-27 friendship 600,xy-aes,10576,45.0,16,0.0,the aircraft crashed on takeoff after the no. 2 engine failed and caused the aircraft to swerve off the runway and crash into an embankment and burst into flames.
4542,02/02/1998,11:00,"pagalungan, philippines",cebu pacifiair,387,tacloban - cagayan de oro,mcdonnell douglas dc-9-32,rp-c1507,47069/175,104.0,104,0.0,"flight 387 originated in manila on a flight to tacloban and cagayan de oro. the aircraft crashed while on approach to cagay de oro into a remote mountainous area.  wreckage was found near the town of pagalungan, ne of cagay de oro. the last radio message from the pilot was 'leveling off at 5,000 feet sir.'  the cockpit voice recorder revealed that the gpws warned of terrain a dozen times just before impact. the crew apparently got lost in a cloud, never realizing they were headed into a mountain. pilot error, inadequate training standards and deficient equipment."
4547,02/16/1998,20:09,"taipei, taiwan",china airlines (taiwan),676,denpasar - taipei,airbus a300-622r,b-1814,578,196.0,196,7.0,"the aircraft was attempting to land at taipei's international airport in rain and fog when the crew requested a go-around. the plane crashed into a residential neighborhood, ripping the roofs off several structures, skidding into a rice paddy and bursting in flames. dfdr data showed complete autopilot disengagement just after landing clearance. this was  followed by an attempted manually flown go-around with falling airspeed and a pitch-up of 40 degrees followed by a gain of 1,000 feet in altitude, total stall and a dive resulting in impact with the ground."
4548,03/05/1998,05:20,"near clarksville, tennesee",baron aviation,8315,"memphis, tn - bowling green, ky",cessna 208b caravan i super cargomaster,n840fe,208b-0142,1.0,1,0.0,"the cargo plane was flying level when began to slow down, when into a nose-down pitch and crashed into a ridge. the pilot did not maintain control of the airplane due to undetected airframe ice, resulting in an inadvertent stall, and subsequent impact with the ground. factors in this accident were: flight into clouds, below freezing temperatures, and the inability of the pilot to detect ice, due to the lack of an ice detection system to determine ice build up on portions of the airframe that are not visible from the cockpit."
4551,03/18/1998,19:31,"off hsinchu, taiwan",formosa airlines,7623,hsinchu - kao hsiung,saab340b,b-12255,340b-377,13.0,13,0.0,"the aircraft crashed in the sea, 11 km off hsinchu, shortly after taking off from hsinchu. instrument failure and loss of power in the aircraft's right engine in turbulence."
4553,03/22/1998,19:42,"bacolod, philippines",philippine air lines,137,manila - bacolod,airbus a.320-214,rp-c3222,708,127.0,0,3.0,"the aircraft overran the 6,888 ft. runway, went through a concrete perimeter fence, crossed a small river and hit a karaoke house before stopping near a market. the plane was (legally) released from manila with the no. 1 reverser deactivated. the plane landed mid-runway and the crew incorrectly used the no. 2 reverser to try and stop the plane causing it to veer to the right. the no. 2 engine was then to set to forward thrust steering the plane back on the runway.  a go-around was attempted but it was too late and the aircraft overran the runway."
4554,03/28/1998,09:35,"piura, peru",fuerza aérea del peru,388,tumbes - piura,antonov an-32,ob-1388,1203,55.0,22,1.0,a peruvian air force plane carrying villagers stranded by flooding crashed while attempting to land at piura airport. the pilot tried to glide the plane after losing an engine but crashed near a shantytown 2 kilometers from the airport. the plane began losing altitude after an engine failed and crashed into a drainage canal and broke in two. engine failure.
4556,04/20/1998,16:47,"near bogota, colombia",air france,422,bogota - quito,boeing b-727-230,hc-bsu,21622/1431,53.0,53,0.0,"the aircraft, leased from tame, crashed atop fog covered cerro el cable mountain and exploded into flames, three minutes after taking off from bogota's el dorado airport. the aircraft was leased to air france by tame airlines. the crew did not turn in the proper direction after reaching the romeo non-directional beacon even though the flight crew acknowledged an air trafficontroller's warning that they were off course."
4562,06/18/1998,07:28,"montreal, canada",propair,420,montreal - peterborough,swearingen sa-226tc metroliner ii,c-gqal,tc-233,11.0,11,0.0,"flight 420 took off from montreal's dorval airport on a flight to peterborough  about 12 minutes after take off, at an altitude of 12,500 feet, the crew advised atc that they had a hydrauliproblem and requested clearance to return to dorval. the crew then advised atc that the left engine had been shut down because it was on fire. the crew decided to proceed to mirabel international airport. then crew then advised atc that the engine fire was out. on final for runway 24, the crew advised atc that the left engine was again on fire. the landing gear was extended on short final, and when the aircraft was over the runway, the left wing broke upwards. the fuselage inverted, struck the runway and slid 2,500 feet and came to rest on the left side of the runway.  pc: the crew did not realize that the pull to the left and the extended take-off run were due to the left brakes' dragging, which led to overheating of the brake components. the dragging caused overheating and leakage, probably at one of the piston seals that retain the brake hydraulifluid. when hydraulifluid leaked onto the hot brake components, the fluid caught fire and initiated an intense fire in the left nacelle, leading to failure of the main hydraulisystem. when the l wing ovht light went out, the overheating problem appeared corrected; however, the fire continued to burn. the crew never realized that all of the problems were associated with a fire in the wheel well, and they did not realize how serious the situation was. the left wing was weakened by the wing/engine fire and failed, rendering the aircraft uncontrollable."
4571,07/30/1998,11:05,"kochi, india",alliance airlines,503,agathi - kochi - thiruvananthapuram,dornier 228-201,vt-ejw,8075/2017,6.0,6,2.0,"shortly after taking off the plane pitched up, stalled and crashed to the ground. the  pitch-up was caused by an uncommanded downward movement of the horizontal stabilizer. this was due to a partial detachment of the actuator forward bearing support fitting due to the non-installation of required hi-lok fasteners."
4572,02/25/1999,12:30,"genoa, italy",minerva airlines,1553,cagliar - genoa,dornier 328-110,d-cprr,3054,31.0,4,0.0,"the aircraft touched down briefly, overran the runway and crashed into the sea in strong winds."
4573,07/30/1998,15:58,"near quiberon, france",proteus air / private,706,lyon - lorient,beechcraft 1900d / cessna 177,f-gsjm/f-gaje,ue-238,15.0,15,0.0,"midair collision. the beechcraft was on a flight from lyon to lorient, approaching lorient, when it requested permission to fly over the ocean liner norway. while circling the norway, it collided with the cessna. one killed aboard the cessna, 14 aboard the beechcraft.  failure of both pilots to 'see and avoid' each other under vfr condition."
4574,08/04/1998,17:58,"kincolith, british columbia, canada",harbour air seaplanes ltd.,709,prince rupert - kincolith,de havilland dash-2 beaver,c-focj,0039,5.0,5,0.0,"the pilot made three low passes over the water in an attempt to land at kincolith. on the fourth approach, the aircraft touched down, apparently in a controlled manner, and skipped on the water surface. the floats then dug into the water followed by the right wing, which was severed from the fuselage on water impact. the aircraft quickly overturned and came to rest inverted with only the bottom of the floats visible. all five occupants drowned. on touchdown, the floats struck the water and caused a flying attitude that the pilot could not control before the right wing dug in and the aircraft overturned. contributing to the accident were conflicting wind and water conditions at the time of the occurrence."
4580,08/24/1998,08:35,"manibagi, myanmar",myanmar airways,635,rangoon - tachilek,fokker f-27 friendship 600,xy-aen,10476,44.0,44,0.0,"the aircraft was on a flight from rangoon to tachilek when it was diverted to heho due to poor weather conditions. after the aircraft was reported missing, wreckage was found on payakha mountain, near manibagi. it was five days before officials announced that the plane had crashed as an effort was made to hide the accident. there are reports that some survived the crash, only to be tortured and  murdered by nearby villagers who thought it was a military plane."
4581,08/29/1998,13:03,"quito, ecuador",cubana de aviacion,389,quito - guayaquil - havana,tupolev tu-154m,cu-t1264,720,91.0,70,10.0,"the aircraft crashed and burned during takeoff from quito. the crew tried and failed twice to take off. on the third attempt, the plane struggled to gain altitude, rising a few feet, but settled back to earth plowing past the end of the runway and crashing into an auto body shop and coming to rest in a soccer field. the accident was caused by the late decision of the crew to abort the takeoff."
4583,09/02/1998,21:30,"off peggy's cove, nova scotia, canada",swissair,111,new york city - geneva,mcdonnell douglas md-11,hb-iwf,48448/465,229.0,229,0.0,"the aircraft was on a flight from jfk airport, new york to geneva, switzerland when the crew reported smoke in the cockpit and requested an emergency landing at halifax. the plane began dumping fuel and preparing for an emergency landing when it disappeared from radar and crashed into the atlantiocean southwest of halifax. a fire in the entertainment system wiring started in a hidden area above the cockpit ceiling when arcing ignited the cover material made of thermal insulation blankets. this set off an in-flight fire that spread and increased in intensity until it led to the loss of the aircraft.. it was determined that  aircraft certification standards for material flammability at the time of the accident were inadequate. dr. jonathan mann, researcher in the fight against aids killed in the crash."
4589,09/25/1998,09:00,"near nador, morroco",paukn air,4101,malaga - melilla,british aerospace bae-146-100,ec-geo,e1007,38.0,38,0.0,the aircraft crashed into a hill in a forest 20 miles north of nador and 12 miles from its destination as it made an approach for melilla.
4591,09/29/1998,13:50,"off mannar, sri lanka",lionair,602,jaffna - colombo,antonov an-24rv,ew-46465,27307901,55.0,55,0.0,"ten minutes after taking off from jaffna, the plane disappeared from radar. the aircraft crashed into the sea 35 nm north of mannar. the plane was shot down by ltte (liberation tigers of tamil eelam) rebels."
4601,11/23/1998,00:30,"victoria, british columbia",regency express air,434,vancouver - victoria,cessna 208b caravan i super cargomaster,n9352b,208b-0061,2.0,2,0.0,"while en route, the cargo plane made a right turn in the vicinity of beaver point, and began to head towards high ground north of the victoria airport. the aircraft then began a gradual, descending turn to the left in a southeasterly direction before striking trees near mount tuam peak.  the crew would have encountered the lower ceiling in the vicinity of beaver point. this lower layer of cloud would have restricted the crew's view of the ground lighting and reduced the ambient lighting available to navigate by visual means. with the loss of ground references, it is unlikely that the crew would have been able to perceive the divergence of the aircraft's flight path away from its intended track by visual means. the crew was unable to maintain separation between the aircraft and the terrain by visual means."
4606,12/11/1998,19:10,"near surat thani, thailand",thai airways,261,bangkok - surat thani,airbus a-310-204,hs-tia,415,146.0,102,0.0,"the plane crashed 2 miles southwest of surat thani airport. the accident occurred in poor visibility and heavy rain. after a third landing attempt, the plane could not gain altitude and crashed into a paddy field. first reports suggest the aircraft stalled and pancaked into the ground tail first. spatial disorientation when the nose pitched up sharply during a nighttime approach in stormy weather."
4610,12/26/1998,12:00,"vila nova, angola",transafrik,806,huambo - saurimo,lockheed martin l-100-30 hercules,s9-cao,4561,14.0,14,0.0,"the plane crashed in dense jungle, 25 km from the departure town of huambo. heavy fighting was reported between government forces and unita rebels at the time of the crash."
4622,02/24/1999,16:34,"rui'an, china",china southwest airlines,4509,chengdu - wenzhou,tupolev tu-154,b-2622,90a-846,61.0,61,0.0,"the aircraft was on a flight from chengdu to wenzhou when it crashed into a field while on approach to wenzhou airport. witnesses saw the plane nose-dive into the ground from an altitude of 2,300 feet and explode. a self-locking nut, other than a castle nut with cotter pin as specified, had been installed at the bolt for connection between the pull rod and bellcranck in the elevator control system. the nut screwed off, resulting in bolt loss, which led to the loss of pitch control."
4625,03/19/1999,09:45,"davis inlet, newfoundland, canada",provincial airlines,960,goose bay - davis inlet,de havilland canada dhc-6 twin otter 300,c-fwlq,724,2.0,1,0.0,"on approach, the crew of the cargo plane descended to mda and initiated a go-around after the runway was not seen.  on the second approach the captain descended below mda and  the aircraft struck the ground in controlled flight 2 nm short of the runway. the aircraft was destroyed. the captain decided to descend below the minimum descent altitude without the required visual references. after descending below mda, both pilots were preoccupied with acquiring and maintaining visual contact with the ground and did not adequately monitor the flight instruments; thus, the aircraft flew into the ice."
4627,04/07/1999,00:33,"near ceyhan, turkey",turkish airlines (thy),5904,adana - ciddah,boeing 737-4q8,tc-jep,25378/2732,6.0,6,0.0,the aircraft departed adana to pick up turkish pilgrims. the plane crashed 9 minutes after taking off in poor weather conditions. severe weather probably contributed to the cause of the accident. pitot anti-icing system was probably not activated because of missed checklist items. the crew failed to recognize the cause of erratiairspeed indications and failed to use other cockpit indications for control and recovery of the aircraft.
4629,04/15/1999,16:05,"shanghi, china",korean air,6316,"shanghi, china - seoul, korea",mcdonnell douglas md-11,hl-7373,48409/490,3.0,3,0.0,"shortly after taking off  and after getting into a disagreement with the first officer about the planes altitude, the captain pushed down on the control column and the plane entered a rapid descent. both crew members tried to recover from the dive but were unable to gain control and the plane crashed into the ground and was destroyed."
4633,06/01/1999,23:50,"little rock, arkansas",american airlines,1420,dallas-fort worth - little rock,mcdonnell douglas md-82,n215aa,49163/1111,145.0,11,0.0,"the plane was on a flight from dallas/fort worth, texas to little rock, arkansas. while attempting to land at little rock airport, the flight encountered heavy thunderstorms, rain and strong winds. the aircraft landed fast and hard, skidded off the end of the runway and struck a landing light tower, breaking into three parts and bursting into flames. crew's decision to continue the approach despite severe thunderstorms in the area and crosswinds that  exceeded american airlines' guidelines. the crew did not arm the automatispoiler system before landing or manually deploy the spoilers after touchdown. fatigue, the crew had been awake for nearly 16 hours."
4639,06/30/1999,02:42,"seraing, belgium",nightexpress,114,"london, england - frankfort, germany",beechcraft 99,d-ibex,u- 45,2.0,2,0.0,the cargo plane lost both engines while on approach and crashed into a wooded area. improper maintenace caused the engine failure. the crew did not follow company procedures.
4641,07/07/1999,19:51,"near kathmandu, nepal",lufthansa cargo airlines,8533,kathmandu - new delhi,boeing 727-243f,vt-lci,22168/1770,5.0,5,0.0,"the cargo plane crashed into the champadevi mountains at an altitude of 7,500 ft. the plane was flying too low.  failure to the adhere to standard instrument departure procedure by the crew and failure of the controllers to warn the flight."
